description,img_link,type,height,width,site_link,thumbnail
Male Dog Names - 150 Brilliant Boy Puppy Name Ideas,https://ybxzcgnc7b-flywheel.netdna-ssl.com/wp-content/uploads/2018/04/male-dog-names-696x435-2.jpg,jpg,435,696,https://www.thelabradorsite.com/male-dog-names/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBtHfW9n6ZlEpWaon8kohv1YMJLwXGWfW9U9AB4uztQ2TyLs2ExA
"This Hairless Mexican Dog Has a Storied, Ancient Past",https://news.nationalgeographic.com/content/dam/news/2017/10/30/xoloitzcuintli/mexican_hairless_dog2_GettyImages-578260776.ngsversion.1511371830227.adapt.1900.1.jpg,jpg,1296,1900,https://news.nationalgeographic.com/2017/11/hairless-dog-mexico-xolo-xoloitzcuintli-Aztec/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLcR9SuxYmojWdR8F6dZE7qi5c6xr-wTGs3nyUPTatNDQKii1y3Q
Merry Christmas: Another Dog Was Brutally Shot In Malta - Lovin Malta,https://cloud.lovinmalta.com/images/uploads/2017/12/_blogWide/gre_171220_152524.png?mtime=20171220152524,png,490,870,https://lovinmalta.com/lifestyle/pets/another-dog-was-brutally-shot-in-malta,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqDZPlbHs-eJXu6jbjK_Xy_VO51zZQ41DlXYc-DTAwvyTOcE2hCw
It's National Dog Week! Zulily Unveils the Most “Pup-ular” Pet ...,http://images.tritondigitalcms.com/3922/2018/09/24122900/dog.jpg,jpg,627,1200,http://www.947qdr.com/2018/09/24/its-national-dog-week-zulily-unveils-the-most-pup-ular-pet-costumes-for-halloween/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy_WfgFqinIKWzOk43KOn6pX5ak4BPzPtMs0Eal4xIb0gc2p0RsA
Regina man says dog shot by police officer wanted to play | CBC News,https://i.cbc.ca/1.4787982.1535221547!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_780/missty.jpg,jpg,439,780,https://www.cbc.ca/news/canada/saskatchewan/regina-police-shoot-dog-lance-murphy-statement-missty-1.4787806,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_rUHC97evdFUFjh8k4lGgXGRgN0rIjRt-59EhoXB_o9zmtyt51w
Lucy's Law: The story of the dog that sparked a campaign - BBC News,https://ichef.bbci.co.uk/news/660/cpsprodpb/6CC2/production/_103124872_dogs976.jpg,jpg,371,660,https://www.bbc.com/news/newsbeat-45271734,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4hfJDytcZDxjuPpN8dR8DtOJ8dqLFGB4bOdDcEsjc4ahRW62f
Pack of canines attack and kill small dog near children's playground ...,https://resources.stuff.co.nz/content/dam/images/1/p/v/s/4/6/image.related.StuffLandscapeSixteenByNine.620x349.1pvle4.png/1526433275458.jpg,jpg,349,620,https://www.stuff.co.nz/auckland/local-news/western-leader/103930636/pack-of-canines-attack-and-kill-small-dog-near-childrens-playground,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYa-aKJwIB7Jo9pvBsoKe_oVoWf9Pz2z8arEp4P-Dywlvux_AC
"Lehigh Valley dog licenses, rabies vaccinations to be checked in May ...",https://image.nj.com/home/njo-media/width600/img/south-jersey-times/photo/2017/01/26/-14a06068a9e4081c.jpg,jpg,442,600,https://www.lehighvalleylive.com/news/index.ssf/2018/04/lehigh_valley_dog_licenses_rab.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJjJEKHSShk30k3D3xfgXbSjGQEUe3aMgE3Mfy3baxOAAFZ_AXow
dog10K,http://www.dog10kgenomes.org/images/01.jpg,jpg,305,460,http://www.dog10kgenomes.org/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_Ex3ZyECWuRx2OuFGuCZ9mJGWBk5BFMYQ8cytG7SHpDrV6Vpg
Can Dogs Have Cinnamon? What to Know About Cinnamon for Dogs,http://www.dogster.com/wp-content/uploads/2017/11/A-retriever-dog-licking-his-lips-and-eating.jpg,jpg,482,725,https://www.dogster.com/dog-food/about-cinnamon-for-dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNbbddFy1qTgS4UVNYcup-dtY-coYPZt5InlkOj8ICBqTToyjstA
Dog Aging Project |,http://dogagingproject.com/wp-content/uploads/2016/08/k8Txzgyip.png,png,800,662,http://dogagingproject.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGGXwxIkN_cujCGM6VmoBJdM7nV3xa_Y4jbD_LL3nmxJOfCawD
Host a collection dog - Guide Dogs Victoria,https://www.guidedogsvictoria.com.au/wp-content/themes/default/static/img/subscribe-bg.jpg,jpg,403,240,https://www.guidedogsvictoria.com.au/get-involved/collection-dogs/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-stok42gXJyc4jzGl6wPgYC3wjmkDSjxSys98fUvRqu38isr0
"Humane Society Silicon Valley | Animals to Adopt: Dog, Cat, Kitten ...",http://www.hssv.org/assets/img/what-we-do/whatwedo_adopt_availableanimals_dog.jpg,jpg,267,400,http://www.hssv.org/what-we-do/adopt/adoptable-pets/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM3LQU-ZbNqFI7YGI_ZXzFMYMYCEzbwIw_JaC-IDbN0lfqwiRD_g
Dog - Wikipedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Wilde_huendin_am_stillen.jpg/220px-Wilde_huendin_am_stillen.jpg,jpg,152,220,https://en.wikipedia.org/wiki/Dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCdGZdgEab5Po9RAq_zIqIemtftpCNkKyPy9h6Z8wP3H_WV5bqhw
Here is a dog dressed as Paddington Bear and it's wonderful ...,https://cdn-03.independent.ie/world-news/and-finally/article37192585.ece/8e9e7/AUTOCROP/w620/ipanews_25664b9d-f201-4a6f-80ae-474802feecbf_1,,349,620,https://www.independent.ie/world-news/and-finally/here-is-a-dog-dressed-as-paddington-bear-and-its-wonderful-37192590.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRffwIO_PJ9cPvG4wPBwKUroaJ7fJDEYAoRO5zkT3a-osIe1ME9tg
Why corgi mixes look like adorable munchkin versions of other dogs ...,"https://www.popsci.com/sites/popsci.com/files/styles/1000_1x_/public/images/2017/05/vastgotaspets_hane_5_ar.jpg?itok=6U8tXVl5&fc=50,50",jpg,665,1000,https://www.popsci.com/corgi-mixes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4X0dtVQ5m_dJqdpw32bHy18ikR6asMWT_pDHoxSwUe1juRdjV
"Dogs cannot get 'autism', British Veterinary Association warns after ...",https://www.telegraph.co.uk/content/dam/news/2018/04/25/TELEMMGLPICT000146033712_trans_NvBQzQNjv4BqpdquQA-gsM6cBCkZN_HIiLMSC6xrnuJ9Yuq4JszxuIk.jpeg?imwidth=450,jpeg,300,480,https://www.telegraph.co.uk/news/2018/04/25/dogs-cannot-get-autism-british-veterinary-association-warns/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8hIKQz0mS_--6ApfyuwAnqQ3mkvRiNYd-zWOsSSkllnbnBL-FVw
"Pet Health Care: Why I Didn't Pay for a $6,000 Surgery | Money",https://timedotcom.files.wordpress.com/2016/11/161117_fm_mydog.jpg,jpg,1668,2100,http://time.com/money/4574759/dog-surgery-health-care-insurance/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUUjGyO73mT-m1alAjt9Bc7HM9wA8yXPqaTMkG0-jLyqEVKHxA
"Pregnancy for dogs, canine gestation and giving birth to a litter of ...",https://www.vetwest.com.au/sites/default/files/styles/large/public/images/article/cavalier-with-puppy_0.jpg,jpg,369,438,https://www.vetwest.com.au/pet-library/pregnancy-and-your-dog-an-overview,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZw2rkiiqQg6sIqK0eKNZvgScblN2O8dp2ZS9QFhXPVvWvSbREhg
A dog's sense of smell is even more advanced than we realized – BGR,https://boygeniusreport.files.wordpress.com/2018/03/beagle-dog.jpg?quality=98&strip=all&w=782,jpg,489,782,https://bgr.com/2018/03/07/dogs-sense-of-smell-noses-more-advanced-powerful/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnliwhuchqHGe79iacOdbxDEtFIsGqx6_XuucSHbudoQQ3m2tC
The best pooper scoopers you can buy to clean up after your dog ...,https://amp.businessinsider.com/images/5a340e184aa6b54d008b5458-750-563.png,png,563,750,https://www.businessinsider.com/best-pooper-scooper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQBFLIlFXMhS5sj7CpFpmWvzPOkTZ-3M4_UCwpIJK12-06KdU4OQ
"After Woman Is Mauled By Dachshunds, Expert Advises 'Judge Dogs on ...",https://peopledotcom.files.wordpress.com/2018/05/dog-fight.jpg?crop=0px%2C103px%2C1800px%2C945px&resize=1200%2C630,jpg,630,1200,https://people.com/pets/expert-advice-on-avoiding-dog-attacks/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyHgXnhzH4uPCAfDZ0-6vIe0D4SmZloNJa2_hEmVIqkHWIousu
Dog Program — Warlukurlangu Artists,https://1vjnyq3aq33issyah1ronko2-wpengine.netdna-ssl.com/wp-content/uploads/sites/17/08-Warlukurlangu-Dog-program-1-CROPPED-1.jpg,jpg,650,1200,https://warlu.com/community-projects/dog-program/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs42bfRQtQKQGTQZSqP0pKXQeBqdZpzrHIUpWdJ_FLQTbMW05XoQ
Inside the Minds of Very Good Dogs | The New Yorker,"https://media.newyorker.com/photos/59e62efaa3920b73fc39302c/master/w_727,c_limit/Tolentino-A-Poe-and-a-Neuroscientist-Consider-How-Dogs-Think.jpg",jpg,485,727,https://www.newyorker.com/books/page-turner/inside-minds-very-good-dogs-gregory-berns-eileen-myles,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu4JuT-NXu7dkEEV6ZJyKXhzpQM2G5YxdC5L0jxfGvPChtGwD3
"Relax, Dog Flu Isn't Coming to Take Our Precious Doggos Away","https://i.kinja-img.com/gawker-media/image/upload/s--4vlfc0Vs--/c_scale,f_auto,fl_progressive,q_80,w_800/zhdfbwvbc2miyqyaryl9.jpg",jpg,450,800,https://gizmodo.com/relax-dog-flu-isnt-coming-to-take-our-precious-doggos-1822316914,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcC38_QixUpeCxQ4A1A_4uo8eUH6YYoxwdl6l_cmh0Jl_EUtTrOw
"All Dog Breeds, All Dog Types, All Dog List Names & Pictures",http://www.dogbreedslist.info/uploads/allimg/dog-pictures/Australian-Shepherd-1.jpg,jpg,300,400,http://www.dogbreedslist.info/all-dog-breeds/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzO8qG89lM_rp2TIMtHjHAz0v-UsNxr2qs9JHEKKSq5SxdyKAN
VIDEO: Blind dog has own seeing eye dog to help him around | fox8.com,https://localtvwjw.files.wordpress.com/2018/09/42397017_849581948582752_633363764690812928_o.jpg?quality=85&strip=all&w=1200,jpg,800,1200,https://fox8.com/2018/09/23/video-blind-dog-has-own-seeing-eye-dog-to-help-him-around/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSY8__aGYy9GsnW7_u3UTs4CTP317Hxzh_8HQq7s9LEAz8fg90v
Dog Looks Just Like a Human - Yogi the Dog Looks Like a Person,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/dogzoom7-1520883582.jpg?crop=1xw:1xh;center,top&resize=480:*",jpg,480,480,https://www.cosmopolitan.com/lifestyle/a19409262/dog-looks-like-human/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtrTNkD3AJaMDdwE2f94iHuKMJ7CvfuuIopxPnu_GVyjyM6yrI
"KSR Pet Care – Dog Walking, Pet Sitting",https://ksrpetcare.com/wp-content/uploads/2017/04/41059-Cute-Yellow-Labrador-puppy-in-play-bow-white-background.jpg,jpg,1104,1847,https://ksrpetcare.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTABaiQNCr19fse_iLgCKoW9M1YW0PFt0sIIgpJGLRWgtqMoLtljQ
Odie - Toronto Humane Society,https://g.petango.com/photos/1686/6b6e2533-f5ff-4a2f-9424-2331de8b24d2.jpg,jpg,336,420,https://www.torontohumanesociety.com/adopt-a-pet/dogs/29709530,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYf8tupmIuFf2C0KBKEPgNd1jBtPitCebOmgcBC6N4UpmrwS8d
Dogs in dire need of adoption at Stark County Dog Warden shelter ...,https://mediaassets.news5cleveland.com/photo/2018/08/25/dog%20shelter_1535223503245.jpg_95709774_ver1.0_900_675.jpg,jpg,675,900,https://www.news5cleveland.com/news/local-news/oh-stark/dogs-in-dire-need-of-adoption-at-stark-county-dog-warden,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5-z1d5WXYHCW3DikLD3dIn2ZCkEKHopDz2SL0h1gHIR21i9fC
Thousands of Florida greyhounds will need new homes after dog racing ...,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/11/640/320/1862/1048/greyhound-dogs-istock.jpg?ve=1&tl=1?ve=1&tl=1,jpg,1048,1862,https://www.foxnews.com/lifestyle/greyhound-racing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKSpnvvzmbyGNPa1Ma4Trk8n6LRL-E1oPmdDpES5gmveY5Z8hwzQ
"Sponsor a Dog | Sheldon, Labrador/Retriever | Dogs Trust",https://www.dogstrust.org.uk/sponsor/_dogs/sheldon-assets/v800_sheldon1.jpg,jpg,800,800,https://www.dogstrust.org.uk/sponsor/dog/sheld/sheldon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy5_x8WHuxWhqSAEDnhN0ILS2osgr32QAX1ZYQIkKPjyjf-6LZ
